cell,x,y,cell_type
C73,362.1,14980.04,Astro
C74,364.24,3416.74,eL6
C75,391.92,11900.4,eL2_3
C76,366.68,4449.06,eL6
C77,381.09,15713.69,Smc
C78,398.43,4333.8,eL6
C79,412.2,1029.57,HPC
C80,424.88,1741.75,eL5
C81,427.06,5434.77,eL6
C82,431.12,9271.25,eL4
C83,415.74,3937.1,eL6
C84,404.79,6506.08,eL4
C85,421.66,8630.74,eL5
C86,421.56,8796.67,eL5
C87,436.13,10598.04,eL4
C88,459.3,2268.21,Oligo
C89,441.49,3774.08,eL6
C90,417.4,7693.1,Astro
C91,417.32,8085.5,PVALB
C92,435.81,14680.88,Astro
C93,419.62,4573.65,eL6
C94,456.48,10748.87,Oligo
C95,427.65,11478.78,Endo
C96,437.48,12256.36,eL2_3
C97,457.1,12509.34,Endo
C98,455.77,12826.25,eL2_3
C99,471.56,11615.34,eL2_3
C100,476.11,10867.35,eL4
C101,479.79,11355.92,eL4
C102,497.27,1933.72,Oligo
C103,477.53,5127.81,eL6
C104,475.28,6410.17,Oligo
C105,477,9615.03,eL4
C106,496.87,4820.84,eL6
C107,479.22,8507,eL5
C108,481.86,15747.24,Smc
C109,509.2,3451.18,Oligo
C110,502.34,4205.4,Oligo
C111,493.89,15205.17,Endo
C112,533.17,6281.86,eL6
C113,533.41,8116.6,PVALB
C114,530.23,10978.42,eL4
C115,536.09,11755.3,eL4
C116,539.82,4640.74,eL6
C117,534.44,8977.21,Astro
C118,555.59,7880.26,eL6
C119,510.17,10142.53,eL4
C120,561.53,15796.76,Smc
C121,544.59,5574.93,eL6
C122,547.19,13710.44,eL2_3
C123,602.96,4254.99,eL6
C124,568.49,6562.72,PVALB
C125,575.95,7574.41,Astro
C126,600.97,8506.88,Oligo
C127,574.92,11232.02,eL2_3
C128,574.82,12247.6,eL2_3
C129,588.33,12865.81,eL4
C130,569.07,2639.42,Oligo
C131,600.73,5211.22,eL6
C132,602.35,9489.03,Astro
C133,602.64,2430.3,Oligo
C134,576.27,10033.97,Reln
C135,649.17,12718.4,Astro
C136,634.5,10798.93,eL4
C137,646.38,11621.27,PVALB
C138,628.78,13589.85,eL2_3
C139,627.57,71.22,HPC
C140,647.57,3792.42,Astro
C141,670.77,11061.38,eL4
C142,659.9,15860.81,Smc
C143,635.78,1733.74,Oligo
C144,652.88,2775.87,Oligo
C145,594.95,9236.71,Astro
C146,663.89,2083.49,Oligo
C147,626.53,2964.52,Oligo
C148,669.3,10183.72,eL4
C149,670.16,5076.87,eL2_3
C150,669.02,9924.79,eL5
C151,669.05,11357.63,eL4
C152,705.28,2670.31,Oligo
C153,689.23,3598.72,Oligo
C154,725.74,8069.79,Astro
C155,728.24,43.55,HPC
C156,751.98,5758.75,Endo
C157,691.27,7408.59,Astro
C158,712.43,7684.59,Endo
C159,716.04,10542.68,Endo
C160,733.99,9363.47,eL4
C161,706.65,9781.19,Endo
C162,714.12,12152.56,Reln
C163,753.65,3118.48,Oligo
C164,714.88,4664.26,eL6
C165,718.08,8970.26,Astro
C166,734.37,12325.32,eL2_3
C167,702.67,225.52,HPC
C168,766.41,3027.57,Oligo
C169,739.74,6334.09,eL6
C170,717.83,13976.15,eL4
C171,731.53,6654.97,Oligo
C172,730.13,7191.3,eL4
C173,747.15,13605.42,Endo
C174,777.68,14164.77,eL2_3
C175,752.42,4791.15,eL6
C176,765.99,9589.2,eL4
C177,824.03,1889.46,Astro
C178,789.92,3636.32,Astro
C179,786.26,10726.51,eL4
C180,782.53,13752.82,eL2_3
C181,746.88,4144.34,Reln
C182,779.39,4309.99,eL6
C183,799.28,11933.84,eL4
C184,830.52,4955.57,eL6
C185,788.83,9154.03,eL4
C186,822.13,13954.6,eL2_3
C187,833.28,6632.95,PVALB
C188,832.94,7944.68,Astro
C189,772.22,13236.58,Astro
C190,810.56,2633.15,Micro
C191,815.66,2775.41,Oligo
C192,821.92,10068.35,eL2_3
C193,844.23,13574.4,Astro
C194,848.12,15892.34,Smc
C195,857.29,3715.74,Astro
C196,825.32,5525.27,Astro
C197,816.73,11787.36,eL4
C198,830.29,8706.73,Astro
C199,872.58,11106.28,Micro
C200,852.8,11632.78,eL4
C201,842.03,3884.85,eL6
C202,886.32,11270.3,eL2_3
C203,877.06,15066.26,Astro
C204,891.76,4777.78,eL6
C205,888.62,7281.06,eL5
C206,892.3,4446.77,eL6
C207,883.53,678.35,PVALB
C208,908.76,13458.06,PVALB
C209,904.96,11425.55,eL4
C210,920.95,438.83,Astro
C211,911.77,8228.46,VIP
C212,1000.64,2662.31,Oligo
C213,920.53,6473.48,SST
C214,948.34,13931.91,eL2_3
C215,955.06,12465.85,VIP
C216,961.19,10995.93,eL4
C217,945.02,12923.21,eL2_3
C218,957.09,10347.3,eL4
C219,936.95,60.19,HPC
C220,968.31,9601.75,eL4
C221,971.13,9387.26,PVALB
C222,1006.75,7312.23,Endo
C223,993.88,3476.04,Oligo
C224,1008,10851.05,eL4
C225,1022.49,12552.49,VIP
C226,1011.89,7591.78,Astro
C227,1036.61,8196.63,VIP
C228,1056.72,10430.76,eL4
C229,1056.95,9603.5,Oligo
C230,1073.73,2286.78,Astro
C231,1045.83,10118.83,Astro
C232,1056.72,14039.99,eL2_3
C233,1075.68,5293.67,eL4
C234,1103.2,7962.05,Oligo
C235,1099.89,4918.67,PVALB
C236,1121.03,16089.89,Smc
C237,1119.49,1227.46,HPC
C238,1130.16,2416.34,Oligo
C239,1070.61,8770.52,Astro
C240,1119.5,10262.36,eL4
C241,1122.37,13130.15,Endo
C242,1106.41,15257.72,Endo
C243,1137.27,10643.09,eL4
C244,1114.07,11854.47,eL2_3
C245,1131.52,14590.88,eL2_3
C246,1113.68,9858.87,Astro
C247,1155.31,14722.69,eL2_3
C248,1162.79,2142.82,Astro
C249,1174.83,4069.06,Oligo
C250,1139.29,9239.06,Astro
C251,1124.75,15974.89,Smc
C252,1177.56,445.43,HPC
C253,1177.71,10906.16,eL4
C254,1177.58,14179.06,eL2_3
C255,1181.76,2609.98,Oligo
C256,1183.26,7251.07,PVALB
C257,1200.78,8485.37,Oligo
C258,1193.14,8948.36,Micro
C259,1180.24,9572.25,Endo
C260,1169.31,7608.62,PVALB
C261,1202.38,657.67,HPC
C262,1204.34,5855.86,Reln
C263,1167.41,6769.13,Astro
C264,1176.94,12617.81,Endo
C265,1207.86,15797.38,Endo
C266,1262.3,10373.19,Astro
C267,1251.79,10498.72,Astro
C268,1220.43,2026.66,Oligo
C269,1218.13,5260.1,eL6
C270,1237.51,858.69,HPC
C271,1228.66,13269.64,eL2_3
C272,1189.65,110.91,HPC
C273,1234.94,4942.45,eL6
C274,1262.51,1631.77,Astro
C275,1251.44,2316.17,Oligo
C276,1263.44,10758.51,eL4
C277,1271.78,14625.26,Astro
C278,1248.42,2846.56,Oligo
C279,1255.36,11995.77,eL2_3
C280,1265.87,12490.65,eL4
C281,1294.69,5481.79,Endo
C282,1281.53,16136.22,Smc
C283,1324.81,3174.81,Oligo
C284,1287.73,8084.52,Astro
C285,1343.88,15895.7,Astro
C286,1316.85,11856.07,Oligo
C287,1331.75,5610.17,Astro
C288,1343.29,2905.68,Oligo
C289,1344.79,11023.08,eL4
C290,1344.51,9375.11,eL4
C291,1347.08,71.7,Astro
C292,1361.98,1099.4,HPC
C293,1354.05,6143.09,eL6
C294,1381.05,4492.89,Oligo
C295,1363.9,10093.63,eL4
C296,1379.65,14748.17,eL2_3
C297,1356.2,3902.3,Oligo
C298,1358.33,9038.22,Astro
C299,1378.2,4735.79,Micro
C300,1364.23,5174.61,eL6
C301,1377.62,6570.79,eL4
C302,1410.12,11486.64,eL4
C303,1410.69,5027.22,eL6
C304,1460.56,5976.42,Endo
C305,1404.71,4334.14,eL6
C306,1397.87,7538.44,Astro
C307,1417.63,15721.6,Astro
C308,1391.43,14416.88,eL2_3
C309,1404.44,3391.87,Oligo
C310,1399.1,9207.35,PVALB
C311,1442.71,9611.06,SST
C312,1424.58,12254.18,eL4
C313,1416.85,12390.68,VIP
C314,1411.72,16233.27,Smc
C315,1415.37,5380.76,eL6
C316,1415.07,6982.76,PVALB
C317,1434.4,184.51,HPC
C318,1442.04,1191.28,Astro
C319,1439.54,2953.03,Oligo
C320,1437.8,7295.93,Endo
C321,1432.34,11112.87,eL2_3
C322,1441.29,12680.18,Reln
C323,1465.29,429.74,HPC
C324,1434.5,2230.98,SST
C325,1431.78,8003.24,Astro
C326,1459.07,3962.17,Oligo
C327,1439.42,11275.04,eL2_3
C328,1482.43,14459.83,eL2_3
C329,1479.74,16137.17,Smc
C330,1467.38,7748.84,eL5
C331,1479.27,45.8,HPC
C332,1473.18,6810.88,eL6
C333,1489.74,13350.06,eL2_3
C334,1507.89,6367.18,Endo
C335,1534.59,6585.3,Astro
C336,1506.46,7438.07,eL5
C337,1506.98,9359.54,eL4
C338,1524.68,11833.81,eL4
C339,1506.1,696.64,HPC
C340,1520.02,4769.48,Oligo
C341,1540.85,8008.87,Endo
C342,1528.68,8828.67,Astro
C343,1532.25,2059.66,Astro
C344,1524.2,12166.51,Oligo
C345,1536.22,2329.62,Oligo
C346,1541.57,5303.8,eL6
C347,1539.02,10191.73,eL4
C348,1515.8,10828.64,eL4
C349,1515,13513.48,eL2_3
C350,1545.56,11072.89,eL4
C351,1548.24,13149.61,Endo
C352,1561.75,2983.68,Endo
C353,1554.4,11982.85,Astro
C354,1560.21,16310.69,Smc
C355,1557.64,10464.64,eL4
C356,1565.73,12452.25,eL2_3
C357,1580.36,6940.23,eL4
C358,1536.96,14193.63,Astro
C359,1593.22,3448.62,Oligo
C360,1611.49,6273.95,eL6
C361,1538.37,4153.48,eL6
C362,1587.94,4304.53,eL6
C363,1584.09,4494.03,Astro
C364,1597.1,7552.24,eL5
C365,1603.09,71.05,HPC
C366,1602.23,16225.1,Smc
C367,1711.8,4677.47,eL6
C368,1615.13,9035.13,Astro
C369,1625.25,2810.59,Oligo
C370,1630.31,754.3,HPC
C371,1644.76,1373.96,eL5
C372,1650.29,11473.81,eL2_3
C373,1628.01,14468.61,eL2_3
C374,1615.03,3698.45,Oligo
C375,1633.74,7311.89,eL6
C376,1649.69,3543.33,Oligo
C377,1651.06,9451.4,Astro
C378,1672.45,10504.42,eL4
C379,1668.34,4917.03,eL6
C380,1643.54,10081.15,eL4
C381,1668.71,312.88,Astro
C382,1688.05,13015.17,eL2_3
C383,1678.62,3044.54,Oligo
C384,1682.4,5838.45,eL6
C385,1695.1,11765.19,Endo
C386,1626.57,9871.42,Endo
C387,1688.74,11193.43,eL2_3
C388,1740.6,15981.07,eL6
C389,1687.09,554.57,VIP
C390,1696.3,12231.56,eL4
C391,1708.99,3224.9,Oligo
C392,1697.19,13810.59,eL2_3
C393,1711.9,8330.04,Astro
C394,1709.46,14046.39,eL2_3
C395,1729.41,2460.28,SST
C396,1701.93,6089.63,eL6
C397,1718.03,10635.46,eL4
C398,1758.19,7408.57,eL5
C399,1729.91,57.83,HPC
C400,1757.55,14312.1,eL2_3
C401,1747.16,13501.89,eL2_3
C402,1764.34,14450.41,eL2_3
C403,1732.85,6404.21,eL6
C404,1755.4,4396.28,Reln
C405,1740.14,5172.56,eL5
C406,1751.55,8000.8,eL5
C407,1807.4,11593.69,Astro
C408,1738.58,16342.62,Smc
C409,1775.39,235.48,HPC
C410,1814.11,700.38,HPC
C411,1773.98,3566.8,Oligo
C412,1759.93,6531.46,eL6
C413,1811.51,8170.9,eL5
C414,1820.66,447.02,HPC
C415,1808.23,2685.21,Oligo
C416,1784.85,3087.05,Oligo
C417,1780.54,3664.88,Oligo
C418,1809.38,10858.05,eL4
C419,1799.16,12560.11,PVALB
C420,1848.77,84.07,HPC
C421,1808.7,10201.6,eL2_3
C422,1812.29,10028.18,eL4
C423,1819,16447.26,Smc
C424,1826.48,5040.43,eL6
C425,1839.53,11188.98,eL5
C426,1828.43,14070.21,eL2_3
C427,1851.51,8408.42,Astro
C428,1849.73,2173.89,VIP
C429,1865.75,12317.56,eL4
C430,1864.3,3136.92,Oligo
C431,1840.75,10700.35,eL4
C432,1867.95,13288.13,eL2_3
C433,1861.62,5540.99,eL6
C434,1885.99,16367.7,Smc
C435,1878.67,13875.47,VIP
C436,1859.23,9165.34,Astro
C437,1884.01,3295.6,Oligo
C438,1891.97,3649.32,Astro
C439,1882.41,14383.25,eL2_3
C440,1857.58,8609.62,Astro
C441,1873.6,8928.34,Astro
C442,1891.52,12900.93,Oligo
C443,1900.73,6181.28,eL6
C444,1849.45,9417.54,eL5
C445,2000.5,4156.9,Astro
C446,1926.85,5755.01,Micro
C447,1921.32,14737.13,eL2_3
C448,1916.33,6615.26,eL6
C449,1911.65,12089.57,eL2_3
C450,1918.66,259.27,HPC
C451,1953.91,13488.41,Astro
C452,1987.96,3180.5,Oligo
